"C-A-T" "beta.pinene" "L.alfa.bornyl.acetate" "beta.Caryophyllene.oxide" "alfa.Caryophyllene" "beta.Cubebene" "alfa.Cubenene" "delta.Cadinene" "alfa.Muurolene"
"1" "SS-sana-2015" 0.209585639463178 0.124690190566701 0.957726782863382 0 0.159178966680895 0.14060808723479 0.289175122803625 0.0928543972305218
"2" "SS-sana-2015" 0 6.78899940709405 8.60505674849171 1.45963487252522 2.29128729989424 2.83440725246177 0 1.45114862326635
"3" "SS-sana-2015" 3.4965034965035 2.19001428678848 5.73821339950372 0.742537032859614 0.371268516429807 0.813031054966539 1.81874577035867 0
"4" "SS-sana-2015" 5.48031100187967 2.40462625592679 9.68241535609062 1.74155655744864 2.1090409686534 0.814856737888815 7.14197964384902 0.974632568847405
"5" "SS-sana-2015" 5.38446725621769 4.74010872624391 8.12484261357745 1.41462619798842 2.46633782162378 2.71074967782073 3.90318327926647 1.49609681672073
"6" "SS-sana-2016" 0 2.19091521209924 5.40348060289014 0.656497643341793 0.516651991505672 0.369037136789765 0.951727352773606 0
"7" "SS-sana-2016" 2.25330171944254 3.19959474922922 4.36606487010489 0 0.960346886664701 0.712062081819681 1.32106254653388 0.632423559510901
"8" "SS-sana-2016" 0 2.98076809531963 1.83218985989006 0 0 0 0.196503746302408 0
"9" "SS-sana-2016" 0.432253340357758 0.86866296283434 1.90357721042166 0 0.40731564764481 0.128844745683562 0.87697552707199 0.149626156277685
"10" "SS-sana-2016" 0.50626759279885 1.48764784960893 1.95497178142325 0.358281681057648 0.502373226700397 0.393330975943722 0.92685913143174 0.369964779353006
"11" "SS-danada-2015" 0 0.323534369335652 1.48286585945507 0.215689579557101 0.131810298618229 0.0898706581487922 0.569180834942351 0
"12" "SS-danada-2015" 0 0 0.342903307185877 0 0.234705661714605 0.103203907987982 0.246357715842281 0.0932164330214035
"13" "SS-danada-2015" 0.320018890435474 0 1.60009445217737 0 0.170883873533506 0.102530324120103 0.661786637502485 0.161562934977133
"14" "SS-danada-2015" 0 0.686714218811917 1.6407966785547 0.185750567383551 0 0 0.0872464786195468 0
"15" "SS-danada-2015" 0.435436299865372 0.393586586834833 0.932650747537731 0.249105434705591 0.142488308651598 0.117577765181039 0.340776234677248 0.20227361298094
"16" "SS-danada-2016" 0.245586815466278 0 0 0.264559187476548 0 0.151778976082163 0.691437557707632 0.115942273396097
"17" "SS-danada-2016" 0.209232141375591 0.619918277607235 0.416908653447275 0.133006305484112 0.164118891562267 0.175786111341575 0.463577532564507 0.107338421969634
"18" "SS-danada-2016" 0 0.925557698077356 1.04949277445808 0.150304241568118 0.377958034352576 0.0993238555391654 0.550236580243518 0.110750493787034
"19" "SS-danada-2016" 0 0 1.15608688702592 0.133659628178206 0 0 0.0475387337334855 0
"20" "SS-danada-2016" 0.155892584580129 0 0.730601068032248 0.211734704429728 0.394772763936745 0.138054129628174 0.331950379105947 0.147361149603107
"21" "Conti-sana-2015" 0.206222732772 0 1.73685368267973 0.204389641814027 0 0.0907380024196801 1.32715785357269 0.121900548705227
"22" "Conti-sana-2015" 0 0.259778907416261 0.781623508405616 0.101533305363398 0 0 0.0695182991677318 0
"23" "Conti-sana-2015" 0.705005076574467 0 1.11247582183353 0.165408916392293 0.180537780696466 0.266268011753447 0.24206182886677 0.167426098299516
"24" "Conti-sana-2015" 0.170610857959352 0 0 0 0.144714567019093 0.0495076150328477 0.977965810802714 0
"25" "Conti-sana-2015" 0 0.831363243560195 1.15995555082173 0.208767292959395 0.286591786784495 0.189002342146671 0.332298235538919 0.273003383100747
"26" "Conti-sana-2016" 0.421961467513835 0 2.10404283664685 0.270931543349047 0.168323426931748 0.208674933387989 0.327423652387784 0.137195121951219
"27" "Conti-sana-2016" 0.549277371302323 0.583702833292023 1.20948123123812 0.149177001955366 0 0 0.0971563038375975 0
"28" "Conti-sana-2016" 0.548767667328583 0.867305221352646 1.18058638009578 0.182922555776194 0.240742903866371 0.168204648989604 0.308024763462212 0.177666160495269
"29" "Conti-sana-2016" 0.240605147911582 0.284744941233491 1.01175330182964 0.147132644406363 0.159249450416299 0.0683734053417805 0.468228003669661 0.0882795866438178
"30" "Conti-sana-2016" 1.61100479279218 1.42682947482514 2.22492251934899 0 0.465730689112063 0.298491032567277 0.616034684234593 0.412806747167511
"31" "Conti-danada-2015" 0 0 4.23685475540282 0 0 0 2.17340165485359 0.641792723962648
"32" "Conti-danada-2015" 0.319899985291955 0.456999978988507 1.71768957619818 0.439665497026874 0.138675855693064 0.341962053243124 0.800537894228143 0.365599983190805
"33" "Conti-danada-2015" 0 0.808141444811974 0.943304282950117 0.127601280759785 0.0954646619017653 0.0633280430437453 2.77225597384037 0
"34" "Conti-danada-2015" 0.108259464672739 0.394330564059363 0.933813482987203 0 0 0 0.0768097877845692 0
"35" "Conti-danada-2015" 0.134227595640471 0.561532012531439 0.401094294665314 0 0.219211931341835 0.0802188589330627 0.308167497683449 0.119931165335569
"36" "Conti-danada-2016" 0.556197279342553 0.361464593440012 1.93459923249584 0.283826071609587 0.124730739989863 0.059819844689016 0.666927630149881 0
"37" "Conti-danada-2016" 0.715376893856237 0.4155999097641 1.06852326526781 0.278202125388537 0.212342030398597 0.286150757542495 0.390618494423088 0.182818539541038
"38" "Conti-danada-2016" 0 0.763144521786402 0.984731200586171 0.147133554723046 0.293380762730893 0 1.18415921150596 0.0895210182351064
"39" "Conti-danada-2016" 0.367996372221582 1.25244731083727 1.30733185534953 0.161054647011402 0 0 0.0512855579868709 0
